ticker,method,n_trades_total,win_rate_total,cumulative_return_total,max_drawdown_total,n_trades_is,win_rate_is,cumulative_return_is,max_drawdown_is,n_trades_oos,win_rate_oos,cumulative_return_oos,max_drawdown_oos,n_confirmed,n_not_confirmed,cumulative_confirmed,cumulative_not_confirmed
LOMA_BA,SMA_10_50_100,32,0.65625,3.003730150419999,-0.563509300964378,23,0.782608695652174,5.41323090782797,-0.05884137790689514,9,0.3333333333333333,-0.3757077816217319,-0.5635093009643781,18,14,0.030039341922395213,2.8869681840964527
LOMA_BA,B&H,1,1.0,22.161641791044776,0.0,1,1.0,12.646716417910447,0.0,1,1.0,0.6729268292682926,0.0,0,0,,
LOMA_MEP,HMA16,77,0.33766233766233766,-0.647971925048844,-0.7809236951248514,51,0.3137254901960784,-0.554107707888743,-0.7259506020787042,26,0.38461538461538464,-0.21050872334137705,-0.464597555941511,41,35,-0.44253573077277353,-0.32009300574758903
LOMA_MEP,EMA_12_26,38,0.3684210526315789,-0.5753597765743612,-0.6889227520718432,28,0.35714285714285715,-0.5735602525852053,-0.6889227520718432,10,0.4,-0.004219878658275333,-0.36583773894801735,25,13,-0.5293635941328887,-0.09773188361135832
LOMA_MEP,SMA_10_50_100,21,0.3333333333333333,-0.3084129039567569,-0.4362496333729295,15,0.3333333333333333,-0.1357863516047989,-0.267095905744253,6,0.3333333333333333,-0.1997498566153364,-0.43624963337292955,7,14,-0.25155727982893983,-0.07596523099967123
LOMA_MEP,B&H,1,1.0,0.99,0.0,1,1.0,0.30192660550458705,0.0,1,1.0,0.503888888888889,0.0,0,0,,
PAMP_BA,HMA16,91,0.42857142857142855,1.0069651371214725,-0.4029186731652311,64,0.46875,1.5661771341333015,-0.2727784132584902,27,0.3333333333333333,-0.21791636655693947,-0.36994851470084594,60,30,0.30566690015677533,0.24083226517571044
PAMP_BA,EMA_12_26,45,0.4888888888888889,10.09061932928403,-0.31873150644399845,32,0.5625,9.21359072881279,-0.28371729700257803,13,0.3076923076923077,0.08586878246424301,-0.3187315064439987,23,22,1.1786261541464782,4.09064820881534
PAMP_BA,SMA_10_50_100,33,0.696969696969697,18.692923792383663,-0.28503384659993003,25,0.76,13.631380425658469,-0.15412416851441246,8,0.5,0.3459375137187306,-0.28503384659993003,18,15,6.316450367124536,1.691595350782547
PAMP_BA,B&H,1,1.0,75.7379674796748,0.0,1,1.0,44.843658536585366,0.0,1,1.0,0.6549029982363315,0.0,0,0,,
